City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lebu,-37.62,-73.65,47.14,70,0,7.7,CL,1601506395
Burē,10.7,37.07,55.49,92,100,1.28,ET,1601506966
Castro,-24.79,-50.01,72.21,56,42,2.84,BR,1601506392
Bone,51.97,12.14,48.0,95,9,3.67,DE,1601506967
Barrow,71.29,-156.79,32.0,98,90,17.22,US,1601506391
Alofi,-19.06,-169.92,78.42,86,53,12.3,NU,1601506967
George Town,5.41,100.34,78.8,94,20,2.24,MY,1601506440
Valente,-11.41,-39.46,74.53,64,0,11.95,BR,1601506967
Samarai,-10.62,150.67,79.2,83,90,19.53,PG,1601506607
Tías,28.96,-13.64,71.6,73,20,9.17,ES,1601506968
New Norfolk,-42.78,147.06,55.99,65,73,5.01,AU,1601506278
Saskylakh,71.92,114.08,25.36,97,84,0.65,RU,1601506584
Mingguang,32.78,117.96,64.04,81,0,6.04,CN,1601506969
Bredasdorp,-34.53,20.04,55.4,76,95,14.99,ZA,1601506238
Goderich,43.75,-81.72,63.0,47,97,5.01,CA,1601506669
Zofingen,47.29,7.95,50.0,97,22,2.08,CH,1601506970
Shache,38.42,77.24,51.57,42,51,7.92,CN,1601506970
Vung Tau,10.35,107.08,80.73,83,100,10.49,VN,1601506970
Tasiilaq,65.61,-37.64,33.8,64,100,4.7,GL,1601506418
Várzea Grande,-15.65,-56.13,100.4,13,49,3.36,BR,1601506971
Sterling,39.01,-77.43,68.0,63,1,5.82,US,1601506935
Arraial do Cabo,-22.97,-42.03,75.2,88,1,11.41,BR,1601506972
Ushuaia,-54.8,-68.3,32.0,94,90,27.51,AR,1601506664
Hobyo,5.35,48.53,77.86,82,83,13.78,SO,1601506972
Port Macquarie,-31.43,152.92,61.0,94,65,2.8,AU,1601506737
Boulder City,35.98,-114.83,96.8,4,1,8.05,US,1601506973
Lompoc,34.64,-120.46,75.2,53,1,9.17,US,1601506457
Balikpapan,-1.27,116.83,78.8,94,20,5.82,ID,1601506973
Chokurdakh,70.63,147.92,34.92,87,96,16.53,RU,1601506441
Butaritari,3.07,172.79,81.95,76,62,19.66,KI,1601506431
Henties Bay,-22.12,14.28,55.0,86,88,1.99,NA,1601506974
Cockburn Town,21.46,-71.14,86.0,74,40,16.11,TC,1601506559
Beringovskiy,63.05,179.32,42.24,76,80,7.02,RU,1601506556
Manturovo,58.34,44.76,48.29,94,91,3.58,RU,1601506975
Shellbrook,53.22,-106.4,50.0,53,75,16.11,CA,1601506975
Mattru,7.62,-11.83,74.32,96,100,2.48,SL,1601506975
Roald,62.58,6.13,55.0,95,76,4.0,NO,1601506976
Fort Nelson,58.81,-122.7,62.6,29,40,14.99,CA,1601506464
Kilindoni,-7.91,39.67,77.11,85,39,11.99,TZ,1601506976
Port Blair,11.67,92.75,81.14,81,100,17.65,IN,1601506719
Bengkulu,-3.8,102.27,76.5,85,94,6.22,ID,1601506436
Zaysan,47.47,84.87,35.65,75,0,4.94,KZ,1601506977
Mehamn,71.04,27.85,49.6,81,83,9.89,NO,1601506977
São João da Barra,-21.64,-41.05,74.57,85,0,19.37,BR,1601506412
Camacupa,-12.02,17.48,62.55,95,100,1.86,AO,1601506978
San Miguel de Cozumel,20.51,-86.95,77.0,94,75,6.11,MX,1601506867
Marawi,8.0,124.29,75.99,88,92,5.99,PH,1601506728
Kaitangata,-46.28,169.85,52.32,55,77,3.04,NZ,1601506483
Kirovskiy,45.09,133.51,49.84,80,100,1.14,RU,1601506980
Viedma,-40.81,-63.0,46.99,60,7,1.81,AR,1601506980
Cidreira,-30.18,-50.21,69.08,91,62,11.54,BR,1601506393
Paamiut,61.99,-49.67,34.0,74,60,2.51,GL,1601506412
Carutapera,-1.2,-46.02,78.46,79,51,7.49,BR,1601506363
Saldanha,-33.01,17.94,51.8,81,55,11.41,ZA,1601506451
Port Lincoln,-34.73,135.87,54.88,75,43,10.8,AU,1601506415
Itarema,-2.92,-39.92,78.01,77,1,16.87,BR,1601506982
Wawa,9.9,4.42,71.31,95,97,2.64,NG,1601506983
Mahébourg,-20.41,57.7,66.2,93,20,5.82,MU,1601506501
Fukuechō,32.69,128.84,70.61,74,0,19.75,JP,1601506715
Pangnirtung,66.15,-65.71,32.0,86,20,4.7,CA,1601506626
Batticaloa,7.71,81.69,78.26,71,80,6.17,LK,1601506984
Bentong,3.52,101.91,78.01,94,20,0.29,MY,1601506984
Mount Gambier,-37.83,140.77,48.2,87,63,8.05,AU,1601506454
Salalah,17.02,54.09,77.0,88,20,2.24,OM,1601506433
Chui,-33.7,-53.46,60.48,87,60,6.69,UY,1601506537
Meulaboh,4.14,96.13,76.75,89,53,3.47,ID,1601506985
Port Alfred,-33.59,26.89,61.03,78,79,19.62,ZA,1601506986
Khalīlābād,26.77,83.07,75.2,100,40,1.12,IN,1601506986
Arlit,18.74,7.39,94.57,10,41,7.47,NE,1601506987
Broken Hill,-31.95,141.43,60.8,67,1,3.36,AU,1601506292
Vanimo,-2.67,141.3,76.01,91,100,7.96,PG,1601506987
Clyde River,70.47,-68.59,28.4,100,90,11.41,CA,1601506988
Hokitika,-42.72,170.97,52.81,59,0,4.34,NZ,1601506988
Nishihara,26.18,127.76,78.8,73,20,6.93,JP,1601506988
Cap Malheureux,-19.98,57.61,68.0,81,0,3.0,MU,1601506884
Touros,-5.2,-35.46,77.0,83,40,8.05,BR,1601506442
Gravdal,68.12,13.5,52.27,84,57,6.93,NO,1601506989
Zhigansk,66.77,123.37,28.17,97,79,4.32,RU,1601506574
Bethel,41.37,-73.41,64.4,48,1,13.87,US,1601506989
Hermanus,-34.42,19.23,52.0,83,94,8.99,ZA,1601506990
Lagoa,39.05,-27.98,69.94,78,91,11.88,PT,1601506670
Vredendal,-31.67,18.5,50.4,81,49,14.97,ZA,1601506990
Geraldton,-28.77,114.6,57.2,87,90,5.82,AU,1601506514
Saint Paul Harbor,57.79,-152.41,55.4,76,90,13.87,US,1601506424
Kiryat Gat,31.61,34.76,78.01,81,0,1.59,IL,1601506464
Yellowknife,62.46,-114.35,41.0,93,90,3.53,CA,1601506409
Swan River,52.11,-101.27,46.0,71,100,13.73,CA,1601506500
Yar-Sale,66.83,70.83,43.12,87,95,4.45,RU,1601506992
Øksfjord,70.24,22.35,46.4,87,47,12.75,NO,1601506992
Puerto Cabezas,14.04,-83.39,87.8,70,40,9.17,NI,1601506992
Stephenville,32.22,-98.2,86.0,17,1,4.7,US,1601506992
Sorong,-0.88,131.25,78.78,87,100,8.84,ID,1601506993
Souillac,-20.52,57.52,66.2,93,20,5.82,MU,1601506533
Oyama,36.3,139.8,70.0,93,90,4.7,JP,1601506993
Kamen'-Rybolov,44.75,132.04,50.25,75,31,6.08,RU,1601506994
Māyakonda,14.28,76.08,69.17,94,100,10.22,IN,1601506994
Bāgeshwar,29.85,79.77,65.28,53,0,2.39,IN,1601506995
Tuktoyaktuk,69.45,-133.04,41.0,86,20,12.75,CA,1601506452
Erzin,36.96,36.2,78.01,70,42,3.09,TR,1601506995
Dikson,73.51,80.55,40.03,95,100,22.37,RU,1601506412
Port Hardy,50.7,-127.42,68.0,68,75,3.36,CA,1601506470
Codrington,-38.27,141.97,52.34,75,5,11.5,AU,1601506448
Yulara,-25.24,130.99,68.0,32,0,11.41,AU,1601506596
Maceió,-9.67,-35.74,77.0,78,75,6.93,BR,1601506243
Kieta,-6.22,155.63,83.5,71,100,2.55,PG,1601506997
Anchorage,61.22,-149.9,54.0,87,90,5.82,US,1601506943
Buala,-8.14,159.59,83.05,77,95,10.96,SB,1601506997
Kinablangan,7.69,126.55,80.85,73,42,3.02,PH,1601506998
Tiksi,71.69,128.87,27.7,95,100,22.64,RU,1601506401
Yalova,40.66,29.28,64.4,77,75,3.33,TR,1601506998
Guerrero Negro,27.98,-114.06,93.54,28,0,16.37,MX,1601506572
Pisco,-13.7,-76.22,64.4,82,17,21.92,PE,1601506432
Two Hills,53.72,-111.75,52.2,47,58,8.66,CA,1601506999
Leningradskiy,69.38,178.42,34.92,82,53,1.63,RU,1601506618
Groton,41.35,-72.08,66.99,59,1,12.75,US,1601506999
Provideniya,64.38,-173.3,41.0,77,20,11.18,RU,1601506406
Gazimurskiy Zavod,51.55,118.33,40.21,72,100,2.98,RU,1601507000
Kruisfontein,-34.0,24.73,53.01,77,95,1.01,ZA,1601506875
Pueblo Nuevo,23.38,-105.38,72.82,47,1,2.86,MX,1601507000
Jiblah,13.92,44.15,63.28,77,14,0.43,YE,1601507001
São Filipe,14.9,-24.5,79.32,80,10,7.92,CV,1601506206
Black River,18.03,-77.85,86.0,62,20,3.36,JM,1601507001
Qaanaaq,77.48,-69.36,11.07,78,0,6.96,GL,1601506427
Troitskoye,52.98,84.68,35.82,82,98,5.5,RU,1601507002
Dauphin,51.15,-100.05,48.2,66,90,18.34,CA,1601507002
Golubitskaya,45.32,37.28,57.2,87,40,6.71,RU,1601507002
Ahipara,-35.17,173.17,59.99,53,3,1.95,NZ,1601506281
Torbay,47.67,-52.73,70.0,94,90,18.34,CA,1601506429
Ca Mau,9.18,105.15,78.19,89,98,4.38,VN,1601507003
Alcains,39.92,-7.46,60.01,42,51,8.99,PT,1601507003
Bedēsa,8.9,40.78,61.27,82,99,2.44,ET,1601507004
St. George's,12.06,-61.75,80.6,88,75,5.82,GD,1601507004
Kavieng,-2.57,150.8,84.63,71,86,8.79,PG,1601506504
Oriximiná,-1.77,-55.87,87.8,45,37,5.12,BR,1601507005
Iquique,-20.22,-70.14,62.6,72,90,17.22,CL,1601506420
Isangel,-19.55,169.27,77.0,73,75,5.82,VU,1601506466
Baie-Saint-Paul,47.44,-70.5,57.0,75,52,8.01,CA,1601507005
Hasaki,35.73,140.83,62.6,100,90,8.05,JP,1601506466
Travagliato,45.52,10.08,59.0,82,75,1.12,IT,1601507006
Nicoya,10.15,-85.45,75.2,100,75,5.82,CR,1601506822
Mölln,53.63,10.68,50.0,84,5,6.91,DE,1601507006
Padang,-0.95,100.35,77.16,79,61,4.59,ID,1601506591
Esperance,-33.87,121.9,53.6,100,0,11.41,AU,1601506430
Nuevo Vigía,9.24,-79.61,79.0,83,20,5.82,PA,1601507007
Varadero,23.15,-81.25,77.0,83,75,12.75,CU,1601507007
Bandiagara,14.35,-3.61,88.66,42,78,11.32,ML,1601507007
Pevek,69.7,170.31,36.09,83,0,10.89,RU,1601506859
Sørland,67.67,12.69,53.82,81,34,7.18,NO,1601506361
Hofn,64.25,-15.21,44.73,87,100,10.31,IS,1601506560
Atar,20.52,-13.05,94.21,19,56,11.52,MR,1601506487
Hamilton,39.18,-84.53,73.4,40,40,11.41,US,1601506720
Norman Wells,65.28,-126.83,53.6,54,75,14.99,CA,1601506976
Ilhabela,-23.78,-45.36,73.71,87,55,4.43,BR,1601507009
Klaksvík,62.23,-6.59,44.6,81,100,8.05,FO,1601506440
Mar del Plata,-38.0,-57.56,57.2,58,90,5.82,AR,1601507009
Grindavik,63.84,-22.43,35.6,80,40,4.7,IS,1601506409
Tytuvėnai,55.6,23.2,51.8,93,99,6.93,LT,1601507009
Chapais,49.78,-74.85,48.2,93,90,9.17,CA,1601507010
Jalu,29.03,21.55,79.54,38,0,9.13,LY,1601506697
Wanxian,30.8,108.39,70.23,70,98,1.9,CN,1601507010
Slave Lake,55.28,-114.77,51.8,57,1,4.7,CA,1601506876
Ribeira Grande,38.52,-28.7,69.78,81,87,10.27,PT,1601506411
Novi Troyany,45.94,28.86,57.4,59,100,5.19,UA,1601507011
Ostrovnoy,68.05,39.51,44.1,89,17,14.2,RU,1601506194
Corvallis,44.56,-123.26,80.01,50,1,5.82,US,1601506801
Xining,36.62,101.77,45.75,76,96,2.44,CN,1601506481
Novosergiyevka,52.09,53.65,51.6,70,0,4.36,RU,1601507012
Dukat,62.55,155.55,34.93,92,100,2.64,RU,1601507012
Kayerkan,69.35,87.76,26.6,92,40,6.71,RU,1601506762
Kaeo,-35.1,173.78,62.01,57,4,5.99,NZ,1601506728
Payakumbuh,-0.22,100.63,69.24,88,28,1.45,ID,1601507013
Bantogon,6.53,124.03,79.47,76,70,4.36,PH,1601506652
Jinchang,38.5,102.17,49.68,61,41,1.63,CN,1601507013
Zhanakorgan,43.91,67.25,50.95,47,74,5.3,KZ,1601507014
Nichinan,31.6,131.37,64.4,93,20,8.05,JP,1601507014
Ilulissat,69.22,-51.1,24.8,49,0,5.55,GL,1601506547
Karratha,-20.74,116.85,76.32,35,0,4.94,AU,1601507015
Te Anau,-45.42,167.72,46.53,83,99,4.47,NZ,1601506432
Örnsköldsvik,63.29,18.72,48.2,100,90,3.36,SE,1601507015
East London,-33.02,27.91,62.19,78,79,15.86,ZA,1601506435
Atambua,-9.11,124.89,78.17,58,38,3.47,ID,1601506580
Fare,-16.7,-151.02,79.59,76,3,23.53,PF,1601506643
Shenzhen,22.55,114.07,78.8,83,75,8.95,CN,1601506758
Treinta y Tres,-33.23,-54.38,64.4,92,44,5.14,UY,1601507016
Lazarev,52.23,141.51,48.94,68,0,4.27,RU,1601507017
Sovetskiy,61.36,63.58,44.19,90,0,4.97,RU,1601507017
Quatre Cocos,-20.21,57.76,68.0,93,20,5.82,MU,1601506505
Maniitsoq,65.42,-52.9,29.84,85,0,9.73,GL,1601506384
Dingle,11.0,122.67,78.53,87,100,1.23,PH,1601506676
Umirim,-3.68,-39.35,80.01,74,63,21.0,BR,1601506931
Vao,-22.67,167.48,68.02,71,60,19.98,NC,1601506470
Lahijan,37.21,50.0,62.83,71,7,2.42,IR,1601507018
Gaogou,34.02,119.19,61.21,67,45,3.74,CN,1601507019
Bulgan,48.81,103.53,28.78,92,100,4.21,MN,1601507019
Kargasok,59.06,80.86,38.16,93,98,5.61,RU,1601507020
Santa Cruz Cabrália,-16.28,-39.02,77.0,73,40,10.29,BR,1601507020
Omsukchan,62.53,155.8,37.26,88,100,2.64,RU,1601506727
Mbuyapey,-26.2,-56.75,87.06,33,0,3.91,PY,1601507020
Langsa,4.47,97.97,73.98,90,47,1.97,ID,1601507021
Nagapattinam,10.77,79.83,78.15,76,100,13.15,IN,1601507021
Kudahuvadhoo,2.67,72.89,82.0,71,100,4.9,MV,1601507022
Biankouma,7.74,-7.61,68.5,98,97,3.06,CI,1601507022
Otjimbingwe,-22.35,16.13,48.22,67,0,1.9,NA,1601507023
Ganta,7.3,-8.53,69.49,99,100,2.46,LR,1601507023
Verkhoyansk,67.54,133.38,30.38,85,55,5.12,RU,1601507023
Half Moon Bay,37.46,-122.43,87.01,72,1,16.11,US,1601506594
Baykit,61.67,96.37,31.3,97,99,1.63,RU,1601506485
Angoche,-16.23,39.91,73.74,89,0,4.92,MZ,1601507024
Zaria,11.11,7.72,70.72,91,16,7.05,NG,1601507025
Khandyga,62.67,135.6,35.6,82,100,3.91,RU,1601507025
Algiers,36.75,3.04,66.2,93,40,4.43,DZ,1601507026
Dicabisagan,17.08,122.42,79.66,83,100,4.16,PH,1601506576
Nanortalik,60.14,-45.24,34.23,84,97,11.7,GL,1601507026
Ubari,26.59,12.78,81.73,18,65,2.37,LY,1601507027
Raja,8.46,25.68,68.86,96,92,2.33,SS,1601507027
Biak,-0.91,122.88,79.03,75,33,5.88,ID,1601506505
Sobolevo,54.43,31.9,51.49,57,32,12.44,RU,1601506693
Malindi,-3.22,40.12,76.51,83,10,10.85,KE,1601507028
Coquimbo,-29.95,-71.34,57.2,76,24,12.75,CL,1601506497
Saint-Pierre,-21.34,55.48,69.8,73,90,4.7,RE,1601507028
Jiwani,25.05,61.74,81.14,76,0,8.23,PK,1601507029
Beisfjord,68.38,17.6,51.01,82,49,5.01,NO,1601507029
Narsaq,60.92,-46.05,32.0,81,62,3.36,GL,1601506540
Goshāinganj,26.58,82.38,74.44,60,42,4.83,IN,1601507030
Ryōtsu-minato,38.08,138.43,62.6,88,100,2.24,JP,1601507030
Halmstad,56.67,12.86,51.01,93,30,3.36,SE,1601507013
Bluff,-46.6,168.33,55.0,62,100,1.01,NZ,1601507031
Auki,-8.77,160.7,78.75,84,100,5.32,SB,1601507031
Aksu,41.12,80.26,54.48,37,60,5.88,CN,1601506631
Aksay,47.26,39.87,60.8,51,40,31.32,RU,1601507032
Lavrentiya,65.58,-171.0,38.43,76,3,12.15,RU,1601506661
Srednekolymsk,67.45,153.68,39.2,68,0,12.97,RU,1601506647
Duki,30.15,68.57,68.27,25,0,3.89,PK,1601507032
Lata,40.16,-8.33,64.0,80,85,1.81,PT,1601506740
Kahului,20.89,-156.47,89.6,52,40,14.99,US,1601507033
San Policarpo,12.18,125.51,79.99,83,100,4.41,PH,1601506706
Quelimane,-17.88,36.89,73.4,94,44,2.24,MZ,1601507034
Ulladulla,-35.35,150.47,63.0,63,40,12.75,AU,1601506541
Riyadh,24.69,46.72,78.8,24,0,3.36,SA,1601507034
Progreso,21.28,-89.67,80.6,83,90,4.7,MX,1601507034
Conde,-7.26,-34.91,77.0,78,40,8.05,BR,1601506836
Grand Gaube,-20.01,57.66,68.0,81,0,3.0,MU,1601507035
Saint-Leu,-21.15,55.28,69.8,73,90,4.7,RE,1601507036
Sandpoint,48.28,-116.55,73.99,40,1,1.74,US,1601507034
Vitina,43.24,17.48,53.6,93,0,2.24,BA,1601507036
Province of Mantua,45.17,10.78,61.0,86,44,1.99,IT,1601507036
Robertsport,6.75,-11.37,75.43,93,100,4.09,LR,1601506709
Safakulevo,54.99,62.54,47.97,89,0,2.15,RU,1601507037
Nabire,-3.37,135.48,80.13,77,99,2.42,ID,1601507037
Pachino,36.72,15.09,66.99,82,27,4.83,IT,1601507038
Fortuna,40.6,-124.16,71.01,77,20,13.87,US,1601507038
Korla,41.76,86.15,55.0,70,0,5.99,CN,1601507038
Saint George,37.1,-113.58,93.99,8,1,3.36,US,1601506790
Cayenne,4.93,-52.33,82.4,78,80,6.93,GF,1601506538
San Patricio,19.22,-104.7,91.4,75,75,11.41,MX,1601506848
Tezu,27.92,96.17,76.26,60,5,2.93,IN,1601507040
Lázaro Cárdenas,17.96,-102.2,84.4,70,16,5.21,MX,1601507040
Metaxades,41.42,26.23,59.0,72,20,3.36,GR,1601507042
Sinazongwe,-17.26,27.46,76.53,58,25,2.59,ZM,1601507042
Troitsko-Pechorsk,62.71,56.2,44.42,93,34,3.83,RU,1601507043
Camacha,33.08,-16.33,68.0,88,40,16.11,PT,1601506729
Shingū,33.73,135.98,70.3,75,78,3.8,JP,1601506714
Hambantota,6.12,81.12,77.0,100,75,8.05,LK,1601506614
Jacareacanga,-6.22,-57.75,74.5,90,81,3.96,BR,1601506768
Veliki Crljeni,44.47,20.28,57.2,82,99,9.17,RS,1601507044
Melo,-32.37,-54.18,65.84,89,5,6.89,UY,1601507044
Vila Velha,-20.33,-40.29,80.01,83,2,14.99,BR,1601506999
Kamenka,51.32,42.77,54.0,45,100,12.44,RU,1601507044
Kalmunai,7.42,81.82,78.15,69,91,3.69,LK,1601507045
Mehrān,33.12,46.16,60.8,38,0,4.7,IR,1601507045
Khasan,42.43,130.64,54.82,65,25,3.56,RU,1601507046
North Mankato,44.17,-94.03,59.0,50,20,16.11,US,1601507046
Broome,42.25,-75.83,60.01,54,1,10.29,US,1601507046
Katsuura,35.13,140.3,66.0,100,75,1.12,JP,1601506188
Sergeevka,53.88,67.42,42.89,63,0,2.15,KZ,1601507047
Kolyvan',55.31,82.74,39.2,100,90,6.71,RU,1601507047
Batagay-Alyta,67.8,130.41,27.3,85,98,2.53,RU,1601507047
Vysokyy,49.89,36.12,59.0,47,75,17.9,UA,1601507048
Bubaque,11.28,-15.83,78.8,83,100,12.19,GW,1601507048
Arrondissement de Saint-Claude,46.5,5.83,48.99,85,51,3.49,FR,1601507048
Pampa,35.54,-100.96,89.6,13,1,12.75,US,1601507048
Hutchinson,38.06,-97.93,80.6,19,1,13.87,US,1601507049
Yangi Marg`ilon,40.43,71.72,51.8,76,3,4.7,UZ,1601506489
Kindu,-2.95,25.95,70.14,94,91,1.83,CD,1601506531
Moyale,3.52,39.06,70.7,56,27,11.68,KE,1601507049
Melito di Porto Salvo,37.92,15.77,69.01,68,20,4.7,IT,1601507050
Lancaster,40.25,-76.25,64.99,61,0,1.99,US,1601506940
Mrakovo,52.72,56.62,47.21,88,0,2.39,RU,1601507051
South Venice,27.05,-82.42,78.01,69,90,10.29,US,1601507051
Udachny,66.42,112.4,24.8,85,90,2.24,RU,1601507000
Bulungu,-4.55,18.6,73.2,84,0,0.63,CD,1601507051
Vanderhoof,54.02,-124.02,62.89,64,69,3.65,CA,1601506809
Palmer,42.16,-72.33,68.0,42,20,11.41,US,1601507052
Christchurch,-43.53,172.63,60.01,44,7,13.87,NZ,1601507018
Alice Springs,-23.7,133.88,75.0,26,0,10.29,AU,1601507052
Basco,20.45,121.97,80.71,78,92,21.92,PH,1601507053
Barabinsk,55.36,78.36,41.45,94,100,7.0,RU,1601507053
Lenine,45.3,35.78,63.81,75,0,5.79,UA,1601507054
Ryazan,54.62,39.74,46.99,50,62,1.99,RU,1601507054
Vavozh,56.78,51.93,50.23,89,100,2.66,RU,1601507054
Ulagan,50.63,87.96,30.16,92,100,0.63,RU,1601507054
Oranjemund,-28.55,16.43,56.32,73,66,9.37,NA,1601507055
Mitsamiouli,-11.38,43.28,78.4,77,0,5.03,KM,1601507055
Verkhnetulomskiy,68.61,31.8,42.8,100,40,4.47,RU,1601507055
Tanete,-3.94,119.78,76.93,81,94,5.28,ID,1601507056
Sept-Îles,50.2,-66.38,55.4,87,75,21.92,CA,1601506633
Bhilwara,25.35,74.63,75.45,54,0,7.18,IN,1601507056
Giyani,-23.3,30.72,62.76,84,94,4.5,ZA,1601507057
Cedro,-6.61,-39.06,81.16,23,4,5.26,BR,1601507057
Mapimí,25.82,-103.85,84.2,24,5,6.17,MX,1601507057
Khani,41.96,42.96,71.6,46,40,28.86,GE,1601507058
Banjarmasin,-3.32,114.59,75.2,100,20,2.24,ID,1601506703
Avera,33.19,-82.53,71.6,53,1,5.82,US,1601507058
Yenagoa,4.92,6.26,74.61,95,100,4.25,NG,1601507059
Noumea,-22.28,166.46,72.0,68,75,10.29,NC,1601506907
Khorramabad,33.49,48.36,65.77,51,28,3.27,IR,1601507059
Bembèrèkè,10.23,2.66,68.16,100,100,4.0,BJ,1601507060
Elliot,-31.33,27.85,47.97,41,6,4.65,ZA,1601507060
Tanza,14.68,120.94,82.0,94,90,3.36,PH,1601507061
Toora-Khem,52.47,96.11,24.28,93,36,1.1,RU,1601507061
Aquiraz,-3.9,-38.39,80.6,74,20,13.87,BR,1601507061
Plouzané,48.38,-4.62,53.6,93,75,4.7,FR,1601507062
Nobres,-14.72,-56.33,92.75,22,80,3.8,BR,1601507062
Russell,32.35,-85.2,75.2,47,1,9.17,US,1601507063
Kosh-Agach,50.0,88.67,26.1,91,96,1.97,RU,1601507063
Las Vegas,36.17,-115.14,96.8,6,1,4.7,US,1601506838
Bucerías,20.75,-105.33,87.8,70,20,10.29,MX,1601507064
Constitución,-35.33,-72.42,49.24,66,57,14.5,CL,1601507064
